"ID";"block";"nStimuli";"reactionTime";"typeOfAlternatives";"deg";"type";"modelNumber";"trialNumber";"overallHits";"STEM";"Experience";"sex";"outlier";"sexContrasts";"typeContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"ExperienceContrasts";"STEMContrasts1";"STEMContrasts2"
"id92";"main6";8;16192;"mixed";45;"hit";"m16";1;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main3";4;9033;"mixed";45;"incorrect";"m3";0.545454545454545;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;13555;"mixed";90;"incorrect";"m14";0.181818181818182;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main6";8;16192;"mixed";180;"incorrect";"m16";1;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main3";4;9033;"mixed";180;"hit";"m3";0.545454545454545;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;14471;"mixed";90;"hit";"m16";0.727272727272727;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;8300;"mixed";45;"hit";"m8";0.636363636363636;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;8598;"mixed";90;"incorrect";"m2";0.454545454545455;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;13782;"mixed";90;"incorrect";"m6";0.0909090909090909;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;13555;"mixed";135;"hit";"m14";0.181818181818182;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main2";2;2585;"mixed";45;"hit";"m4";0.130434782608696;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main3";4;13782;"mixed";180;"hit";"m6";0.0909090909090909;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;8868;"mixed";45;"hit";"m12";0.909090909090909;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;6727;"mixed";135;"hit";"m7";1;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;6727;"mixed";135;"incorrect";"m7";1;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;14471;"mixed";90;"incorrect";"m16";0.727272727272727;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;11516;"mixed";90;"hit";"m13";0.818181818181818;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;8300;"mixed";180;"hit";"m8";0.636363636363636;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main1";2;7939;"paired";135;"hit";"m4";0.782608695652174;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;3952;"paired";45;"hit";"m8";0.826086956521739;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main6";8;16192;"mixed";135;"hit";"m16";1;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;13375;"mixed";45;"hit";"m7";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;17139;"mixed";135;"hit";"m14";0.6;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;17139;"mixed";90;"hit";"m14";0.6;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main3";4;33261;"mixed";135;"incorrect";"m15";0;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;33261;"mixed";180;"hit";"m15";0;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;7967;"mixed";135;"hit";"m4";0.272727272727273;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;18196;"mixed";135;"hit";"m5";0.363636363636364;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;18196;"mixed";135;"incorrect";"m5";0.363636363636364;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main3";4;8598;"mixed";45;"hit";"m2";0.454545454545455;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
"id92";"main6";8;16192;"mixed";90;"incorrect";"m16";1;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main5";4;8732;"paired";45;"hit";"m2";0.818181818181818;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;8732;"paired";135;"hit";"m2";0.818181818181818;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main3";4;11516;"mixed";180;"hit";"m13";0.818181818181818;105;"nonSTEM";"yes";"female";FALSE;-1;1;0;1;1;0;1
