"ID";"block";"experience";"STEMContrasts1";"STEMContrasts2";"experienceContrasts";"STEM";"sexContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"typeContrasts";"sex";"nStimuli";"typeOfAlternatives";"hitSum";"incorrectSum";"acc";"accAttempts";"attempts";"fullCorrectTrials";"accScoringSystem"
"id177";"main1";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";17;7;0.708333333333333;0.708333333333333;24;17;0.708333333333333
"id177";"main2";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";17;7;0.708333333333333;0.708333333333333;24;17;0.708333333333333
"id177";"main3";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";14;10;0.583333333333333;0.583333333333333;24;2;0.166666666666667
"id177";"main4";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";19;5;0.791666666666667;0.791666666666667;24;3;0.5
"id177";"main5";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";20;4;0.833333333333333;0.833333333333333;24;8;0.666666666666667
"id177";"main6";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";18;6;0.75;0.75;24;1;0.166666666666667
"id170";"main1";"yes";0;1;1;"nonSTEM";1;1;0;-1;"male";2;"paired";21;3;0.875;0.875;23;21;0.875
"id170";"main2";"yes";0;1;1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";21;3;0.875;0.875;24;5;0.833333333333333
"id170";"main3";"yes";0;1;1;"nonSTEM";1;-1;-1;1;"male";8;"mixed";20;4;0.833333333333333;0.833333333333333;24;4;0.666666666666667
"id170";"main4";"yes";0;1;1;"nonSTEM";1;1;0;1;"male";2;"mixed";21;3;0.875;0.875;24;21;0.875
"id170";"main5";"yes";0;1;1;"nonSTEM";1;0;1;-1;"male";4;"paired";22;2;0.916666666666667;0.916666666666667;24;10;0.833333333333333
"id170";"main6";"yes";0;1;1;"nonSTEM";1;0;1;1;"male";4;"mixed";22;2;0.916666666666667;0.916666666666667;24;10;0.833333333333333
"id223";"main1";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";24;0;1;1;24;6;1
"id223";"main2";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";24;0;1;1;24;24;1
"id223";"main3";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";20;4;0.833333333333333;0.833333333333333;24;3;0.5
"id223";"main4";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";24;0;1;1;24;12;1
"id223";"main5";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id223";"main6";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id90";"main1";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";20;3;0.833333333333333;0.869565217391304;22;20;0.833333333333333
"id90";"main2";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";12;4;0.5;0.75;14;2;0.333333333333333
"id90";"main3";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";20;4;0.833333333333333;0.833333333333333;24;9;0.75
"id90";"main4";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";19;3;0.791666666666667;0.863636363636364;21;19;0.791666666666667
"id90";"main5";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";13;5;0.541666666666667;0.722222222222222;16;6;0.5
"id90";"main6";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";24;0;1;1;24;6;1
"id33";"main1";"yes";-1;-1;1;"STEM";1;1;0;-1;"male";2;"paired";24;0;1;1;24;24;1
"id33";"main2";"yes";-1;-1;1;"STEM";1;0;1;1;"male";4;"mixed";17;7;0.708333333333333;0.708333333333333;23;6;0.5
"id33";"main3";"yes";-1;-1;1;"STEM";1;0;1;-1;"male";4;"paired";21;3;0.875;0.875;24;9;0.75
"id33";"main4";"yes";-1;-1;1;"STEM";1;-1;-1;-1;"male";8;"paired";21;3;0.875;0.875;24;4;0.666666666666667
"id33";"main5";"yes";-1;-1;1;"STEM";1;-1;-1;1;"male";8;"mixed";15;9;0.625;0.625;24;0;0
"id33";"main6";"yes";-1;-1;1;"STEM";1;1;0;1;"male";2;"mixed";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id231";"main1";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";17;5;0.708333333333333;0.772727272727273;20;7;0.583333333333333
"id231";"main2";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";22;2;0.916666666666667;0.916666666666667;23;10;0.833333333333333
"id231";"main3";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";18;6;0.75;0.75;21;4;0.666666666666667
"id231";"main4";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";13;3;0.541666666666667;0.8125;15;3;0.5
"id231";"main5";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";24;0;1;1;24;24;1
"id231";"main6";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id71";"main1";"no";0;1;-1;"nonSTEM";-1;1;0;-1;"female";2;"paired";15;4;0.625;0.789473684210526;18;15;0.625
"id71";"main2";"no";0;1;-1;"nonSTEM";-1;0;1;1;"female";4;"mixed";14;6;0.583333333333333;0.7;20;4;0.333333333333333
"id71";"main3";"no";0;1;-1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";18;6;0.75;0.75;23;2;0.333333333333333
"id71";"main4";"no";0;1;-1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";16;8;0.666666666666667;0.666666666666667;24;1;0.166666666666667
"id71";"main5";"no";0;1;-1;"nonSTEM";-1;0;1;-1;"female";4;"paired";20;4;0.833333333333333;0.833333333333333;24;8;0.666666666666667
"id71";"main6";"no";0;1;-1;"nonSTEM";-1;1;0;1;"female";2;"mixed";15;4;0.625;0.789473684210526;18;15;0.625
"id63";"main1";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";21;3;0.875;0.875;24;3;0.5
"id63";"main2";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id63";"main3";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id63";"main4";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";21;3;0.875;0.875;24;4;0.666666666666667
"id63";"main5";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";20;4;0.833333333333333;0.833333333333333;24;9;0.75
"id63";"main6";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";21;3;0.875;0.875;24;21;0.875
"id128";"main1";"yes";0;1;1;"nonSTEM";1;-1;-1;1;"male";8;"mixed";18;6;0.75;0.75;24;1;0.166666666666667
"id128";"main2";"yes";0;1;1;"nonSTEM";1;1;0;-1;"male";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id128";"main3";"yes";0;1;1;"nonSTEM";1;0;1;1;"male";4;"mixed";20;4;0.833333333333333;0.833333333333333;24;8;0.666666666666667
"id128";"main4";"yes";0;1;1;"nonSTEM";1;0;1;-1;"male";4;"paired";20;4;0.833333333333333;0.833333333333333;24;8;0.666666666666667
"id128";"main5";"yes";0;1;1;"nonSTEM";1;1;0;1;"male";2;"mixed";21;3;0.875;0.875;24;21;0.875
"id128";"main6";"yes";0;1;1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";24;0;1;1;24;6;1
"id15";"main1";"no";0;1;-1;"nonSTEM";-1;1;0;1;"female";2;"mixed";19;5;0.791666666666667;0.791666666666667;24;19;0.791666666666667
"id15";"main2";"no";0;1;-1;"nonSTEM";-1;1;0;-1;"female";2;"paired";22;2;0.916666666666667;0.916666666666667;24;22;0.916666666666667
"id15";"main3";"no";0;1;-1;"nonSTEM";-1;0;1;1;"female";4;"mixed";16;8;0.666666666666667;0.666666666666667;24;5;0.416666666666667
"id15";"main4";"no";0;1;-1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";14;10;0.583333333333333;0.583333333333333;24;1;0.166666666666667
"id15";"main5";"no";0;1;-1;"nonSTEM";-1;0;1;-1;"female";4;"paired";20;4;0.833333333333333;0.833333333333333;24;8;0.666666666666667
"id15";"main6";"no";0;1;-1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";12;12;0.5;0.5;24;0;0
"id227";"main1";"yes";-1;-1;1;"STEM";-1;-1;-1;1;"female";8;"mixed";15;9;0.625;0.625;24;1;0.166666666666667
"id227";"main2";"yes";-1;-1;1;"STEM";-1;0;1;-1;"female";4;"paired";15;9;0.625;0.625;24;4;0.333333333333333
"id227";"main3";"yes";-1;-1;1;"STEM";-1;1;0;-1;"female";2;"paired";16;8;0.666666666666667;0.666666666666667;24;16;0.666666666666667
"id227";"main4";"yes";-1;-1;1;"STEM";-1;-1;-1;-1;"female";8;"paired";12;12;0.5;0.5;24;0;0
"id227";"main5";"yes";-1;-1;1;"STEM";-1;0;1;1;"female";4;"mixed";19;5;0.791666666666667;0.791666666666667;24;7;0.583333333333333
"id227";"main6";"yes";-1;-1;1;"STEM";-1;1;0;1;"female";2;"mixed";13;10;0.541666666666667;0.565217391304348;23;13;0.541666666666667
"id52";"main1";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";22;2;0.916666666666667;0.916666666666667;24;10;0.833333333333333
"id52";"main2";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";16;8;0.666666666666667;0.666666666666667;24;1;0.166666666666667
"id52";"main3";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";20;4;0.833333333333333;0.833333333333333;24;3;0.5
"id52";"main4";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id52";"main5";"yes";0;1;1;"nonSTEM";-1;1;0;1;"female";2;"mixed";24;0;1;1;24;24;1
"id52";"main6";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";24;0;1;1;24;24;1
"id253";"main1";"no";0;1;-1;"nonSTEM";-1;1;0;1;"female";2;"mixed";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id253";"main2";"no";0;1;-1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";21;3;0.875;0.875;24;3;0.5
"id253";"main3";"no";0;1;-1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id253";"main4";"no";0;1;-1;"nonSTEM";-1;0;1;-1;"female";4;"paired";22;2;0.916666666666667;0.916666666666667;24;10;0.833333333333333
"id253";"main5";"no";0;1;-1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";17;7;0.708333333333333;0.708333333333333;24;2;0.333333333333333
"id253";"main6";"no";0;1;-1;"nonSTEM";-1;0;1;1;"female";4;"mixed";21;3;0.875;0.875;22;10;0.833333333333333
"id123";"main1";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";14;2;0.583333333333333;0.875;15;6;0.5
