"ID";"nStimuli";"reactionTime";"itemNumber";"block";"typeOfAlternatives";"deg";"type";"modelNumber";"weight";"STEM";"Experience";"sex";"outlier";"sexNumeric";"typeNumeric";"nStimuliNumeric1";"nStimuliNumeric2"
"id89";8;16192;6;"main6";"mixed";180;"incorrect";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;16192;6;"main6";"mixed";45;"hit";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;16192;6;"main6";"mixed";135;"hit";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;24694;1;"main6";"mixed";135;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;24694;1;"main6";"mixed";90;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;14168;2;"main6";"mixed";180;"incorrect";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;14168;2;"main6";"mixed";90;"hit";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;14168;2;"main6";"mixed";45;"hit";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;14168;2;"main6";"mixed";90;"hit";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;13375;3;"main6";"mixed";90;"hit";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;13375;3;"main6";"mixed";180;"incorrect";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;13375;3;"main6";"mixed";45;"hit";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;13375;3;"main6";"mixed";45;"hit";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;17139;4;"main6";"mixed";135;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;17139;4;"main6";"mixed";90;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;17139;4;"main6";"mixed";180;"incorrect";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;17139;4;"main6";"mixed";90;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;10958;5;"main6";"mixed";135;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;10958;5;"main6";"mixed";45;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;10958;5;"main6";"mixed";135;"incorrect";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;10958;5;"main6";"mixed";45;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;16192;6;"main6";"mixed";90;"incorrect";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";4;9135;3;"main5";"paired";135;"hit";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;9135;3;"main5";"paired";45;"incorrect";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;14984;4;"main5";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;14984;4;"main5";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;10084;5;"main5";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;10084;5;"main5";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;10401;6;"main5";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;10401;6;"main5";"paired";45;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;11224;7;"main5";"paired";135;"hit";"m8";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;11224;7;"main5";"paired";135;"incorrect";"m8";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;8116;8;"main5";"paired";45;"hit";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;8116;8;"main5";"paired";135;"incorrect";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;12672;9;"main5";"paired";135;"hit";"m13";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;12672;9;"main5";"paired";45;"hit";"m13";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;8732;10;"main5";"paired";45;"hit";"m2";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;8732;10;"main5";"paired";135;"hit";"m2";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;15888;11;"main5";"paired";135;"hit";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;15888;11;"main5";"paired";45;"hit";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;14762;12;"main5";"paired";135;"hit";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;14762;12;"main5";"paired";45;"incorrect";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";8;24694;1;"main6";"mixed";45;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";8;24694;1;"main6";"mixed";135;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;1;-1;-1
"id89";2;4034;1;"main1";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;4400;2;"main1";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;6243;3;"main1";"paired";135;"incorrect";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;4682;4;"main1";"paired";135;"hit";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;6867;5;"main1";"paired";45;"incorrect";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;5800;6;"main1";"paired";135;"hit";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;7533;7;"main1";"paired";135;"hit";"m2";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;4018;8;"main1";"paired";45;"incorrect";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;4283;9;"main1";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;3924;10;"main1";"paired";45;"hit";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;5202;11;"main1";"paired";45;"hit";"m8";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;12384;12;"main1";"paired";45;"incorrect";"m13";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;6916;13;"main1";"paired";45;"hit";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;7764;14;"main1";"paired";135;"incorrect";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;2732;15;"main1";"paired";45;"hit";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;3050;16;"main1";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;2716;17;"main1";"paired";45;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;5983;18;"main1";"paired";135;"incorrect";"m2";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;7939;19;"main1";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;3952;20;"main1";"paired";45;"hit";"m8";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;3599;21;"main1";"paired";45;"hit";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;6767;22;"main1";"paired";45;"incorrect";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;3752;23;"main1";"paired";45;"hit";"m13";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;6817;24;"main1";"paired";135;"hit";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;1;0
"id89";2;7948;1;"main2";"mixed";180;"incorrect";"m8";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
"id89";2;4618;2;"main2";"mixed";135;"incorrect";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
"id89";2;4351;3;"main2";"mixed";45;"incorrect";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
"id89";2;2585;4;"main2";"mixed";45;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
"id89";2;3189;5;"main2";"mixed";135;"hit";"m13";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
"id89";2;3717;6;"main2";"mixed";135;"incorrect";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
