"ID";"block";"sexContrasts";"nStimuliContrasts";"typeContrasts";"sex";"nStimuli";"typeOfAlternatives";"education";"educationNumeric";"hitSum";"incorrectSum";"acc";"accAttempts";"attempts";"fullCorrectTrials";"accScoringSystem"
"id1224";"main1";-0.5;-0.5;0.5;"male";8;"mixed";"Bachelor";6;13;7;0.541666666666667;0.65;17;2;0.333333333333333
"id1224";"main2";-0.5;0.5;0.5;"male";2;"mixed";"Bachelor";6;23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id1224";"main3";-0.5;-0.5;-0.5;"male";8;"paired";"Bachelor";6;22;2;0.916666666666667;0.916666666666667;24;4;0.666666666666667
"id1224";"main4";-0.5;0.5;-0.5;"male";2;"paired";"Bachelor";6;23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id263";"main1";0.5;0.5;-0.5;"female";2;"paired";"Bachelor";6;12;5;0.5;0.705882352941177;17;12;0.5
"id263";"main2";0.5;0.5;0.5;"female";2;"mixed";"Bachelor";6;19;1;0.791666666666667;0.95;20;19;0.791666666666667
"id263";"main3";0.5;-0.5;-0.5;"female";8;"paired";"Bachelor";6;23;1;0.958333333333333;0.958333333333333;24;5;0.833333333333333
"id263";"main4";0.5;-0.5;0.5;"female";8;"mixed";"Bachelor";6;15;5;0.625;0.75;16;3;0.5
"id506";"main1";0.5;0.5;-0.5;"female";2;"paired";"Master/Diplom";7;9;2;0.375;0.818181818181818;10;9;0.375
"id506";"main2";0.5;-0.5;0.5;"female";8;"mixed";"Master/Diplom";7;15;9;0.625;0.625;24;0;0
"id506";"main3";0.5;0.5;0.5;"female";2;"mixed";"Master/Diplom";7;20;4;0.833333333333333;0.833333333333333;24;20;0.833333333333333
"id506";"main4";0.5;-0.5;-0.5;"female";8;"paired";"Master/Diplom";7;12;12;0.5;0.5;24;0;0
"id92";"main1";0.5;0.5;0.5;"female";2;"mixed";"Mittlere Reife";3;14;10;0.583333333333333;0.583333333333333;24;14;0.583333333333333
"id92";"main2";0.5;-0.5;0.5;"female";8;"mixed";"Mittlere Reife";3;14;10;0.583333333333333;0.583333333333333;24;0;0
"id92";"main3";0.5;-0.5;-0.5;"female";8;"paired";"Mittlere Reife";3;16;8;0.666666666666667;0.666666666666667;24;1;0.166666666666667
"id92";"main4";0.5;0.5;-0.5;"female";2;"paired";"Mittlere Reife";3;14;10;0.583333333333333;0.583333333333333;24;14;0.583333333333333
"id813";"main1";0.5;0.5;0.5;"female";2;"mixed";"Bachelor";6;18;6;0.75;0.75;24;18;0.75
